Day,Avg_Temperature,Avg_Humidity,Avg_Rainfall,Avg_Electric_Consumption,Year,Month,DayOfWeek
2017-01-01,24.26180859543185,52.687345725547424,7.163329366032475,405.16717446266415,2017,1,6
2017-01-02,23.68521778019049,54.86845445753527,8.508093703860181,398.5434377699564,2017,1,0
2017-01-03,25.48413638955857,47.99200903765959,8.497075198061905,407.468507393733,2017,1,1
2017-01-04,24.337096899002173,53.905718285672464,8.901508881499089,400.5601215654178,2017,1,2
2017-01-05,25.252513959417225,52.09316669537024,11.76249113789013,396.4067274440531,2017,1,3
2017-01-06,24.551673323525936,55.15758521219008,9.286488357558826,400.60965663569806,2017,1,4
2017-01-07,26.05860408502061,58.28813261258429,13.116764922351145,395.7547156393179,2017,1,5
2017-01-08,25.14683388540001,54.197657667280765,8.740698316922787,404.0051150788354,2017,1,6
2017-01-09,26.5841749316708,61.0831759135209,10.13009132040056,408.7548424739221,2017,1,0
2017-01-10,24.517820340731436,57.04927021464127,10.280159202735748,398.887955154144,2017,1,1
2017-01-11,24.43842267196355,48.63785661572172,10.322737514156474,395.5023399593884,2017,1,2
2017-01-12,25.01597412243649,57.28633517425618,9.509580005358949,400.9276365343571,2017,1,3
2017-01-13,25.730814634163124,55.28594487615501,9.804103591347696,404.4620075678135,2017,1,4
2017-01-14,26.20764055900753,61.79021828638008,12.050482393786805,399.8994063743657,2017,1,5
2017-01-15,23.85127945056443,55.11614634502135,10.471989539986073,392.6363515140327,2017,1,6
2017-01-16,26.01301491014813,61.22037797289341,9.295129126818091,407.5970937551433,2017,1,0
2017-01-17,25.079775650008784,56.989228059757295,10.88449682583686,398.3636263422847,2017,1,1
2017-01-18,26.00286771671537,53.829877782794334,8.148954546349605,411.1435783591785,2017,1,2
2017-01-19,23.961557098939377,55.047599076078114,9.519110485799064,395.5430270557279,2017,1,3
2017-01-20,25.48112613223417,53.9023660612479,10.14525610593912,402.0654226748631,2017,1,4
2017-01-21,24.466603769119317,57.29936913939985,8.940255361431435,400.6421145638778,2017,1,5
2017-01-22,23.100866294065128,54.99586627145542,10.553809760468653,389.5491723992533,2017,1,6
2017-01-23,23.774228155971727,56.2441263948447,9.856729075343504,396.5555201068439,2017,1,0
2017-01-24,24.845225788325227,54.89748135053489,10.42973326683958,397.8560105283316,2017,1,1
2017-01-25,25.46081399556249,50.29249520292044,10.00595997136932,402.6910411969348,2017,1,2
2017-01-26,26.83873016504734,55.22114278125508,8.669863113197843,413.4517035878636,2017,1,3
2017-01-27,23.398757202556933,51.830796545425066,10.573396997960325,390.3654931217953,2017,1,4
